"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Canada","2016A000011124","Compensation of employees","Dollars","81","millions","6","v62783206","1.1","196780","","","","0"
"1981","Canada","2016A000011124","Wages and salaries","Dollars","81","millions","6","v62783207","1.2","179697","","","","0"
"1981","Canada","2016A000011124","Employers' social contributions","Dollars","81","millions","6","v62783208","1.3","17083","","","","0"
"1981","Canada","2016A000011124","Gross operating surplus","Dollars","81","millions","6","v62783209","1.4","87282","","","","0"
"1981","Canada","2016A000011124","Net operating surplus: corporations","Dollars","81","millions","6","v62783210","1.5","40618","","","","0"
"1981","Canada","2016A000011124","Consumption of fixed capital: corporations","Dollars","81","millions","6","v62783211","1.6","35658","","","","0"
"1981","Canada","2016A000011124","Consumption of fixed capital: general governments and non-profit institutions serving households","Dollars","81","millions","6","v62783212","1.7","11006","","","","0"
"1981","Canada","2016A000011124","Gross mixed income","Dollars","81","millions","6","v62783213","1.8","45485","","","","0"
"1981","Canada","2016A000011124","Net mixed income","Dollars","81","millions","6","v62783214","1.9","34442","","","","0"
"1981","Canada","2016A000011124","Consumption of fixed capital: unincorporated businesses","Dollars","81","millions","6","v62783215","1.10","11043","","","","0"
"1981","Canada","2016A000011124","Taxes less subsidies on production","Dollars","81","millions","6","v62783216","1.11","15674","","","","0"
"1981","Canada","2016A000011124","Taxes less subsidies on products and imports","Dollars","81","millions","6","v62783217","1.12","22765","","","","0"
"1981","Canada","2016A000011124","Statistical discrepancy","Dollars","81","millions","6","v62783218","1.13","372","","","","0"
"1981","Canada","2016A000011124","Gross domestic product at market prices","Dollars","81","millions","6","v62783219","1.14","368358","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Compensation of employees","Dollars","81","millions","6","v62783220","2.1","2865","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Wages and salaries","Dollars","81","millions","6","v62783221","2.2","2659","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Employers' social contributions","Dollars","81","millions","6","v62783222","2.3","206","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Gross operating surplus","Dollars","81","millions","6","v62783223","2.4","1169","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Net operating surplus: corporations","Dollars","81","millions","6","v62783224","2.5","236","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Consumption of fixed capital: corporations","Dollars","81","millions","6","v62783225","2.6","646","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Consumption of fixed capital: general governments and non-profit institutions serving households","Dollars","81","millions","6","v62783226","2.7","287","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Gross mixed income","Dollars","81","millions","6","v62783227","2.8","744","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Net mixed income","Dollars","81","millions","6","v62783228","2.9","624","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Consumption of fixed capital: unincorporated businesses","Dollars","81","millions","6","v62783229","2.10","120","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Taxes less subsidies on production","Dollars","81","millions","6","v62783230","2.11","120","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Taxes less subsidies on products and imports","Dollars","81","millions","6","v62783231","2.12","422","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Statistical discrepancy","Dollars","81","millions","6","v62783232","2.13","-69","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Gross domestic product at market prices","Dollars","81","millions","6","v62783233","2.14","5251","","","","0"
