REF_DATE,GEO,DGUID,Sector,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2009,Canada,2016A000011124,"Total, industries and households",Terajoules,283,units,0,v79874878,1.1,10933132,,,,0
2009,Canada,2016A000011124,"Total, industries",Terajoules,283,units,0,v79874879,1.2,8365184,,,,0
2009,Canada,2016A000011124,Crop and animal production [BS11A00],Terajoules,283,units,0,v79874880,1.3,210697,,,,0
2009,Canada,2016A000011124,Forestry and logging [BS11300],Terajoules,283,units,0,v79874881,1.4,21465,,,,0
2009,Canada,2016A000011124,"Fishing, hunting and trapping [BS11400]",Terajoules,283,units,0,v79874882,1.5,9358,,,,0
2009,Canada,2016A000011124,Support activities for agriculture and forestry [BS11500],Terajoules,283,units,0,v79874883,1.6,13813,,,,0
2009,Canada,2016A000011124,Oil and gas extraction [BS21100],Terajoules,283,units,0,v79874884,1.7,1492177,,,,0
2009,Canada,2016A000011124,Coal mining [BS21210],Terajoules,283,units,0,v79874885,1.8,18367,,,,0
2009,Canada,2016A000011124,Metal ore mining [BS21220],Terajoules,283,units,0,v79874886,1.9,79436,,,,0
2009,Canada,2016A000011124,Non-metallic mineral mining and quarrying [BS21230],Terajoules,283,units,0,v79874887,1.1,42543,,,,0
2009,Canada,2016A000011124,Support activities for mining and oil and gas extraction [BS21300],Terajoules,283,units,0,v79874888,1.11,114563,,,,0
2009,Canada,2016A000011124,"Electric power generation, transmission and distribution [BS22110]",Terajoules,283,units,0,v79874889,1.12,1372606,,,,0
2009,Canada,2016A000011124,"Natural gas distribution, water, sewage and other systems [BS221A0]",Terajoules,283,units,0,v79874890,1.13,23543,,,,0
2009,Canada,2016A000011124,Residential building construction [BS23A00],Terajoules,283,units,0,v79874891,1.14,25145,,,,0
2009,Canada,2016A000011124,Non-residential building construction [BS23B00],Terajoules,283,units,0,v79874892,1.15,8223,,,,0
2009,Canada,2016A000011124,Transportation engineering construction [BS23C10],Terajoules,283,units,0,v79874893,1.16,18254,,,,0
2009,Canada,2016A000011124,Oil and gas engineering construction [BS23C20],Terajoules,283,units,0,v79874894,1.17,11550,,,,0
2009,Canada,2016A000011124,Electric power engineering construction [BS23C30],Terajoules,283,units,0,v79874895,1.18,7592,,,,0
2009,Canada,2016A000011124,Communication engineering construction [BS23C40],Terajoules,283,units,0,v79874896,1.19,1532,,,,0
2009,Canada,2016A000011124,Other engineering construction [BS23C50],Terajoules,283,units,0,v79874897,1.2,11820,,,,0
