"REF_DATE","GEO","DGUID","Variable","Product category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Total, all product categories","Tonnes","287","units","0","v1331406638","1.1.1","3731732","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Construction materials","Tonnes","287","units","0","v1331406639","1.1.2","1124918","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Electrical and electronic equipment","Tonnes","287","units","0","v1331406640","1.1.3","182043","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Electronics","Tonnes","287","units","0","v1331406641","1.1.4","19262","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Major appliances","Tonnes","287","units","0","v1331406642","1.1.5","40266","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Other electrical and electronic equipment","Tonnes","287","units","0","v1331406643","1.1.6","122515","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Packaging","Tonnes","287","units","0","v1331406644","1.1.7","927942","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Bottles","Tonnes","287","units","0","v1331406645","1.1.8","154156","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Film","Tonnes","287","units","0","v1331406646","1.1.9","453083","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Non-bottle rigid","Tonnes","287","units","0","v1331406647","1.1.10","266803","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Other packaging products","Tonnes","287","units","0","v1331406648","1.1.11","53899","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Agriculture film","Tonnes","287","units","0","v1331406649","1.1.12","35019","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Textiles","Tonnes","287","units","0","v1331406650","1.1.13","90178","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Vehicles","Tonnes","287","units","0","v1331406651","1.1.14","562338","","","","0"
"2012","Canada","2021A000011124","Plastic in domestically produced products","Other products","Tonnes","287","units","0","v1331406652","1.1.15","809294","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Total, all product categories","Tonnes","287","units","0","v1331406653","1.2.1","1848426","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Construction materials","Tonnes","287","units","0","v1331406654","1.2.2","227562","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Electrical and electronic equipment","Tonnes","287","units","0","v1331406655","1.2.3","419831","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Electronics","Tonnes","287","units","0","v1331406656","1.2.4","108146","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Major appliances","Tonnes","287","units","0","v1331406657","1.2.5","87823","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Other electrical and electronic equipment","Tonnes","287","units","0","v1331406658","1.2.6","223862","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Packaging","Tonnes","287","units","0","v1331406659","1.2.7","654431","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Bottles","Tonnes","287","units","0","v1331406660","1.2.8","78636","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Film","Tonnes","287","units","0","v1331406661","1.2.9","395270","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Non-bottle rigid","Tonnes","287","units","0","v1331406662","1.2.10","158371","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Other packaging products","Tonnes","287","units","0","v1331406663","1.2.11","22154","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Agriculture film","Tonnes","287","units","0","v1331406664","1.2.12","2917","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Textiles","Tonnes","287","units","0","v1331406665","1.2.13","187152","","","","0"
"2012","Canada","2021A000011124","Net trade (imports less exports) of newly produced products","Vehicles","Tonnes","287","units","0","v1331406666","1.2.14","22304","","","","0"
