"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","718062","","","","0"
"2009","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","579966","","","","0"
"2009","Canada","2016A000011124","Crop and animal production [BS11A00]","Kilotonnes","198","units","0","v79874997","1.3","68346","","","","0"
"2009","Canada","2016A000011124","Forestry and logging [BS11300]","Kilotonnes","198","units","0","v79874998","1.4","5568","","","","0"
"2009","Canada","2016A000011124","Fishing, hunting and trapping [BS11400]","Kilotonnes","198","units","0","v79874999","1.5","653","","","","0"
"2009","Canada","2016A000011124","Support activities for agriculture and forestry [BS11500]","Kilotonnes","198","units","0","v79875000","1.6","964","","","","0"
"2009","Canada","2016A000011124","Oil and gas extraction [BS21100]","Kilotonnes","198","units","0","v79875001","1.7","125757","","","","0"
"2009","Canada","2016A000011124","Coal mining [BS21210]","Kilotonnes","198","units","0","v79875002","1.8","2109","","","","0"
"2009","Canada","2016A000011124","Metal ore mining [BS21220]","Kilotonnes","198","units","0","v79875003","1.9","3418","","","","0"
"2009","Canada","2016A000011124","Non-metallic mineral mining and quarrying [BS21230]","Kilotonnes","198","units","0","v79875004","1.10","2104","","","","0"
"2009","Canada","2016A000011124","Support activities for mining and oil and gas extraction [BS21300]","Kilotonnes","198","units","0","v79875005","1.11","6721","","","","0"
"2009","Canada","2016A000011124","Electric power generation, transmission and distribution [BS22110]","Kilotonnes","198","units","0","v79875006","1.12","102158","","","","0"
"2009","Canada","2016A000011124","Natural gas distribution, water, sewage and other systems [BS221A0]","Kilotonnes","198","units","0","v79875007","1.13","2478","","","","0"
"2009","Canada","2016A000011124","Residential building construction [BS23A00]","Kilotonnes","198","units","0","v79875008","1.14","1562","","","","0"
"2009","Canada","2016A000011124","Non-residential building construction [BS23B00]","Kilotonnes","198","units","0","v79875009","1.15","522","","","","0"
"2009","Canada","2016A000011124","Transportation engineering construction [BS23C10]","Kilotonnes","198","units","0","v79875010","1.16","1352","","","","0"
"2009","Canada","2016A000011124","Oil and gas engineering construction [BS23C20]","Kilotonnes","198","units","0","v79875011","1.17","814","","","","0"
"2009","Canada","2016A000011124","Electric power engineering construction [BS23C30]","Kilotonnes","198","units","0","v79875012","1.18","484","","","","0"
"2009","Canada","2016A000011124","Communication engineering construction [BS23C40]","Kilotonnes","198","units","0","v79875013","1.19","85","","","","0"
"2009","Canada","2016A000011124","Other engineering construction [BS23C50]","Kilotonnes","198","units","0","v79875014","1.20","702","","","","0"
"2009","Canada","2016A000011124","Repair construction [BS23D00]","Kilotonnes","198","units","0","v79875015","1.21","766","","","","0"
"2009","Canada","2016A000011124","Other activities of the construction industry [BS23E00]","Kilotonnes","198","units","0","v79875016","1.22","390","","","","0"
"2009","Canada","2016A000011124","Animal food manufacturing [BS31110]","Kilotonnes","198","units","0","v79875017","1.23","257","","","","0"
"2009","Canada","2016A000011124","Sugar and confectionery product manufacturing [BS31130]","Kilotonnes","198","units","0","v79875018","1.24","450","","","","0"
"2009","Canada","2016A000011124","Fruit and vegetable preserving and specialty food manufacturing [BS31140]","Kilotonnes","198","units","0","v79875019","1.25","653","","","","0"
"2009","Canada","2016A000011124","Dairy product manufacturing [BS31150]","Kilotonnes","198","units","0","v79875020","1.26","489","","","","0"
"2009","Canada","2016A000011124","Meat product manufacturing [BS31160]","Kilotonnes","198","units","0","v79875021","1.27","970","","","","0"
"2009","Canada","2016A000011124","Seafood product preparation and packaging [BS31170]","Kilotonnes","198","units","0","v79875022","1.28","188","","","","0"
